1/12/2014,Completed - Dup,1/15/2014,14-00050298,Pot Hole in Street,,,,2200 S WESTERN AVE,60608,1160708.918,1889336.011,25,10,31,,41.85198384,-87.6857857,"(41.85198383957328, -87.68578570420526)"
1/12/2014,Completed - Dup,1/15/2014,14-00050398,Pot Hole in Street,,,,7000 N RIDGE BLVD,60645,1161295.77,1946529.18,50,24,2,,42.00898289,-87.68205466,"(42.00898288871232, -87.68205465603944)"
1/12/2014,Completed - Dup,1/15/2014,14-00050668,Pot Hole in Street,,,,5112 N MELVINA AVE,60630,1133882.646,1933640.536,45,16,11,,41.97416777,-87.78320799,"(41.97416776600826, -87.7832079896648)"
1/12/2014,Completed - Dup,1/15/2014,14-00050623,Pot Hole in Street,,,,2624 N KEDZIE AVE,60647,1154587.22,1917354.561,35,14,22,,41.92913749,-87.70743598,"(41.9291374867828, -87.70743597551612)"
1/12/2014,Completed - Dup,1/31/2014,14-00049106,Pot Hole in Street,,,,7600 N GREENVIEW AVE,60626,1164974.967,1950348.88,49,24,1,19,42.01945249,-87.6683939,"(42.0194524874713, -87.66839390183132)"
1/12/2014,Completed - Dup,1/31/2014,14-00049758,Pot Hole in Street,,,,2399 W POLK ST,60612,1160511.748,1896366.59,25,12,28,,41.87121975,-87.68610523,"(41.87121975477533, -87.68610522610932)"
1/12/2014,Completed - Dup,1/31/2014,14-00051080,Pot Hole in Street,,,,3900 N KILPATRICK AVE,60641,1144369.181,1925500.984,38,17,15,28,41.95160311,-87.74484872,"(41.95160311090978, -87.74484871556533)"
1/12/2014,Completed,1/31/2014,14-00049932,Pot Hole in Street,Final Outcome,Pothole Patched,21,519 E 91ST ST,60619,1181297.37,1844754.45,6,6,44,,41.72914049,-87.6111136,"(41.72914049186145, -87.6111136003379)"
1/12/2014,Completed,1/31/2014,14-00049644,Pot Hole in Street,Final Outcome,Pothole Patched,1,2111 S SPAULDING AVE,60623,1154686.792,1889749.628,24,10,30,,41.85316834,-87.70758463,"(41.85316833819432, -87.7075846317301)"
1/12/2014,Completed,1/31/2014,14-00049465,Pot Hole in Street,Final Outcome,Pothole Patched,1,9600 S INDIANA AVE,60628,1179273.875,1841364.059,6,5,49,,41.71989484,-87.61910964,"(41.71989484008039, -87.6191096397566)"
1/12/2014,Completed,1/31/2014,14-00049479,Pot Hole in Street,Final Outcome,Completed Upon Arrival,0,6800 S ANTHONY AVE,60637,1180095.065,1859855.357,20,3,69,,41.77056905,-87.61540599,"(41.770569046185535, -87.61540598763312)"
